original_path,final_path,media_type,date_folder,location,location_source,duplicate_of
E:\Drone\100_0176_20230221174615.mov,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\100_0176_20230221174615.mov",video,2023-02-21,"South Highpoint, Florida, US",same-day,
E:\Drone\100_0176_20230221174638.jpg,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\100_0176_20230221174638.jpg",photo,2023-02-21,"South Highpoint, Florida, US",same-day,
E:\Drone\100_0176_20230221175119.jpg,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\100_0176_20230221175119.jpg",photo,2023-02-21,"South Highpoint, Florida, US",same-day,
E:\Drone\104MEDIA_20230305133741.jpg,E:\Drone\__reorganized_tmp__\Lake Seminole\2023-03-05\104MEDIA_20230305133741.jpg,photo,2023-03-05,Lake Seminole,same-day,
E:\Drone\20221225_093852_549.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221225_093852_549.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221225_094219_047.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094219_047.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094236_252.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094236_252.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094239_528.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094239_528.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094246_324.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094246_324.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221225_094257_131.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-25\20221225_094257_131.jpg,photo,2022-12-25,Unknown Location,fallback,
E:\Drone\20221226_012411_602.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_012411_602.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014516_200.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014516_200.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014635_840.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014635_840.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014701_940.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014701_940.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_014705_458.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_014705_458.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_022336_297.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_022336_297.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_022954_798.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_022954_798.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_022959_010.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_022959_010.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023021_959.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023021_959.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023041_533.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023041_533.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023045_318.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023045_318.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_023049_132.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_023049_132.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_124036_745.jpg,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_124036_745.jpg,photo,2022-12-26,Unknown Location,fallback,
E:\Drone\20221226_124114_403.mp4,E:\Drone\__reorganized_tmp__\Unknown Location\2022-12-26\20221226_124114_403.mp4,video,2022-12-26,Unknown Location,fallback,
E:\Drone\20230127_200615_001s0.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\20230127_200615_001s0.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\caledesi-island-3-12.jpg,"E:\Drone\__reorganized_tmp__\Dunedin, Florida, US\2023-03-12\caledesi-island-3-12.jpg",photo,2023-03-12,"Dunedin, Florida, US",gps,
E:\Drone\caledesi-island-DeNoiseAI-standard.jpg,"E:\Drone\__reorganized_tmp__\Dunedin, Florida, US\2023-02-25\caledesi-island-DeNoiseAI-standard.jpg",photo,2023-02-25,"Dunedin, Florida, US",gps,
E:\Drone\caledesi-island.jpg,"E:\Drone\__reorganized_tmp__\Dunedin, Florida, US\2023-02-25\caledesi-island.jpg",photo,2023-02-25,"Dunedin, Florida, US",gps,
E:\Drone\DJI_0025.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0025.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0026.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0026.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0027.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0027.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0028.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\DJI_0028.MP4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\DJI_0105.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-03\DJI_0105.MP4",video,2023-03-03,"South Highpoint, Florida, US",nearest-time,
E:\Drone\DJI_0297_160x.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\DJI_0297_160x.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\DJI_0297_20x.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\DJI_0297_20x.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\DJI_0297_80x.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\DJI_0297_80x.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\DJI_0455-DeNoiseAI-standard.jpg,"E:\Drone\__reorganized_tmp__\Tierra Verde, Florida, US\2023-03-09\DJI_0455-DeNoiseAI-standard.jpg",photo,2023-03-09,"Tierra Verde, Florida, US",gps,
E:\Drone\DJI_0455.JPG,"E:\Drone\__reorganized_tmp__\Tierra Verde, Florida, US\2023-03-09\DJI_0455.JPG",photo,2023-03-09,"Tierra Verde, Florida, US",gps,
E:\Drone\fort-desoto.jpg,"E:\Drone\__reorganized_tmp__\Tierra Verde, Florida, US\2023-03-09\fort-desoto.jpg",photo,2023-03-09,"Tierra Verde, Florida, US",gps,
E:\Drone\island-life.jpg,"E:\Drone\__reorganized_tmp__\North Redington Beach, Florida, US\2023-03-09\island-life.jpg",photo,2023-03-09,"North Redington Beach, Florida, US",gps,
E:\Drone\Jupiter-Venus-Kiss-4x.mp4,E:\Drone\__reorganized_tmp__\Jupiter Venus Kiss\2023-03-02\Jupiter-Venus-Kiss-4x.mp4,video,2023-03-02,Jupiter Venus Kiss,filename,
E:\Drone\Jupiter-Venus-kiss.MP4,,video,2023-02-28,Jupiter Venus Kiss,filename,E:\Drone\103MEDIA\DJI_0978.MP4
E:\Drone\lake-seminole.jpg,E:\Drone\__reorganized_tmp__\Lake Seminole\2023-03-05\lake-seminole.jpg,photo,2023-03-05,Lake Seminole,filename,
E:\Drone\output6.mp4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\output6.mp4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\panorama-over-hurricane-pass.jpg,E:\Drone\__reorganized_tmp__\Over Hurricane Pass\2023-02-25\panorama-over-hurricane-pass.jpg,photo,2023-02-25,Over Hurricane Pass,filename,
E:\Drone\post-sunset-downtown-largo-DeNoiseAI-standard.jpg,"E:\Drone\__reorganized_tmp__\Largo, Florida, US\2023-02-25\post-sunset-downtown-largo-DeNoiseAI-standard.jpg",photo,2023-02-25,"Largo, Florida, US",gps,
E:\Drone\post-sunset-downtown-largo.jpg,"E:\Drone\__reorganized_tmp__\Largo, Florida, US\2023-02-25\post-sunset-downtown-largo.jpg",photo,2023-02-25,"Largo, Florida, US",gps,
E:\Drone\skyway_sunset-3-11-23.mp4,E:\Drone\__reorganized_tmp__\Skyway\2023-03-09\skyway_sunset-3-11-23.mp4,video,2023-03-09,Skyway,filename,
E:\Drone\sunset-3-2-23.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\sunset-3-2-23.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\sunset-3-5-23-10x-natural.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\sunset-3-5-23-10x-natural.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\sunset-3-5-23-insta.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\sunset-3-5-23-insta.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\sunset-3-5-23.mp4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-01\sunset-3-5-23.mp4",video,2023-03-01,"South Highpoint, Florida, US",same-day,
E:\Drone\sunset-edited.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\sunset-edited.mp4,video,1904-01-01,Ahq,nearest-time,
E:\Drone\sunset-edited_ahq12.mp4,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\sunset-edited_ahq12.mp4,video,1904-01-01,Ahq,filename,
E:\Drone\the-whole-park.jpg,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-03-03\the-whole-park.jpg",photo,2023-03-03,"South Highpoint, Florida, US",gps,
E:\Drone\Timelapse-142-belcher-night-2-27-23_20230227234505.mov,E:\Drone\__reorganized_tmp__\Belcher Night\1904-01-01\Timelapse-142-belcher-night-2-27-23_20230227234505.mov,video,1904-01-01,Belcher Night,filename,
E:\Drone\Timelapse-downtown-largo-2-25-23_20230226214346.mov,E:\Drone\__reorganized_tmp__\Downtown Largo\1904-01-01\Timelapse-downtown-largo-2-25-23_20230226214346.mov,video,1904-01-01,Downtown Largo,filename,
E:\Drone\Timelapse-kings-manor-2-22-23_20230222211650.mov,E:\Drone\__reorganized_tmp__\Kings Manor\1904-01-01\Timelapse-kings-manor-2-22-23_20230222211650.mov,video,1904-01-01,Kings Manor,filename,
E:\Drone\Timelapse-post-sunset-2-22-23_20230222211046.mov,E:\Drone\__reorganized_tmp__\Post\1904-01-01\Timelapse-post-sunset-2-22-23_20230222211046.mov,video,1904-01-01,Post,filename,
E:\Drone\Timelapse-sunset-2-23-23_20230224083250.mov,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\Timelapse-sunset-2-23-23_20230224083250.mov,video,1904-01-01,Ahq,nearest-time,
E:\Drone\Timelapse-sunset-2-24-23_20230224185846.mov,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\Timelapse-sunset-2-24-23_20230224185846.mov,video,1904-01-01,Ahq,nearest-time,
E:\Drone\Timelapse-sunset-2-25-23_20230225193141.mov,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\Timelapse-sunset-2-25-23_20230225193141.mov,video,1904-01-01,Ahq,nearest-time,
E:\Drone\Timelapse-sunset-2-26-23-taylor-lake_20230226204707.mov,E:\Drone\__reorganized_tmp__\Taylor Lake\1904-01-01\Timelapse-sunset-2-26-23-taylor-lake_20230226204707.mov,video,1904-01-01,Taylor Lake,filename,
E:\Drone\Timelapse-sunset-2-27-23_20230227184809.mov,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\Timelapse-sunset-2-27-23_20230227184809.mov,video,1904-01-01,Ahq,nearest-time,
E:\Drone\Timelapse-sunset-2-27-23_20230227190058.mov,E:\Drone\__reorganized_tmp__\Ahq\1904-01-01\Timelapse-sunset-2-27-23_20230227190058.mov,video,1904-01-01,Ahq,nearest-time,
E:\Drone\Timelapse-sunset-2-28-23-indian-rocks-beach_20230228225053.mov,E:\Drone\__reorganized_tmp__\Indian Rocks Beach\1904-01-01\Timelapse-sunset-2-28-23-indian-rocks-beach_20230228225053.mov,video,1904-01-01,Indian Rocks Beach,filename,
E:\Drone\Timelapse-tampa-bay-2-23-23_20230224085330.mov,E:\Drone\__reorganized_tmp__\Tampa Bay\1904-01-01\Timelapse-tampa-bay-2-23-23_20230224085330.mov,video,1904-01-01,Tampa Bay,filename,
E:\Drone\tubular-tokes-DeNoiseAI-standard.jpg,"E:\Drone\__reorganized_tmp__\Largo, Florida, US\2023-02-25\tubular-tokes-DeNoiseAI-standard.jpg",photo,2023-02-25,"Largo, Florida, US",gps,
E:\Drone\tubular-tokes.jpg,"E:\Drone\__reorganized_tmp__\Largo, Florida, US\2023-02-25\tubular-tokes.jpg",photo,2023-02-25,"Largo, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0531.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0531.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0532.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0532.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0533.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0533.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0534.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0534.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0535.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0535.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0536.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0536.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0537.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0537.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0540.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0540.MP4",video,2023-02-23,"South Highpoint, Florida, US",same-day,
E:\Drone\100MEDIA\DJI_0541.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0541.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0542.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0542.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0543.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0543.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0544.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0544.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0545.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0545.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0546.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0546.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0547.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-22\DJI_0547.JPG",photo,2023-02-22,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0550.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0550.MP4",video,2023-02-23,"South Highpoint, Florida, US",same-day,
E:\Drone\100MEDIA\DJI_0551.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0551.MP4",video,2023-02-23,"South Highpoint, Florida, US",same-day,
E:\Drone\100MEDIA\DJI_0552.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0552.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0553.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0553.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0554.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0554.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0555.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0555.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0556.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0556.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0557.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0557.MP4",video,2023-02-23,"South Highpoint, Florida, US",same-day,
E:\Drone\100MEDIA\DJI_0558.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0558.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0559.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0559.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0560.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0560.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0561.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0561.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0995.MP4,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0995.MP4",video,2023-02-23,"South Highpoint, Florida, US",same-day,
E:\Drone\100MEDIA\DJI_0996.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0996.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0997.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0997.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0998.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0998.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100MEDIA\DJI_0999.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0999.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0001.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0001.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0002.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0002.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0003.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0003.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0004.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0004.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0005.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0005.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0006.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0006.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0007.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0007.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0008.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0008.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0009.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0009.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0010.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0010.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0011.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0011.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0012.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0012.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0013.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0013.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0014.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0014.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0015.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0015.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0016.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0016.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0017.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0017.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0018.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0018.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0019.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0019.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0020.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0020.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0021.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0021.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0022.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0022.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0023.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0023.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0024.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0024.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0025.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0025.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0026.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0026.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0027.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0027.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0028.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0028.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0029.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0029.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0030.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0030.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0031.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0031.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0032.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0032.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0033.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0033.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0034.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0034.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\100_0176\DJI_0035.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-21\DJI_0035.JPG",photo,2023-02-21,"South Highpoint, Florida, US",gps,
E:\Drone\101MEDIA\DJI_0001.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0001.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\101MEDIA\DJI_0002.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0002.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\101MEDIA\DJI_0003.JPG,"E:\Drone\__reorganized_tmp__\South Highpoint, Florida, US\2023-02-23\DJI_0003.JPG",photo,2023-02-23,"South Highpoint, Florida, US",gps,
E:\Drone\101MEDIA\DJI_0003.MP4,E:\Drone\__reorganized_tmp__\Unknown Location\2023-10-02\DJI_0003.MP4,video,2023-10-02,Unknown Location,fallback,
