source_path,final_path,status,date_folder,location,location_source,matched_existing
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0741.JPG,"E:\Drone\Sarasota, Florida, US\2023-06-25\DJI_0741.JPG",moved,2023-06-25,"Sarasota, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0742.MP4,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0742.MP4",moved,2023-06-26,"Holmes Beach, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0743.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0743.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0745.MP4,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0745.MP4",moved,2023-06-26,"Holmes Beach, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0746.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0746.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0747.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0747.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0748.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0748.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0749.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0749.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0750.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0750.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0751.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0751.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0752.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0752.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0753.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0753.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0755.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0755.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0756.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0756.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0757.MP4,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0757.MP4",moved,2023-06-26,"Holmes Beach, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0758.MP4,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0758.MP4",moved,2023-06-26,"Holmes Beach, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0759.MP4,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0759.MP4",moved,2023-06-26,"Holmes Beach, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0760.MP4,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0760.MP4",moved,2023-06-26,"Holmes Beach, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0761.JPG,"E:\Drone\Holmes Beach, Florida, US\2023-06-26\DJI_0761.JPG",moved,2023-06-26,"Holmes Beach, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0841.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0841.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0842.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0842.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0843.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0843.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0844.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0844.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0845.MP4,E:\Drone\Unknown Location\2023-07-16\DJI_0845.MP4,moved,2023-07-16,Unknown Location,fallback,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0846.MP4,E:\Drone\Unknown Location\2023-07-16\DJI_0846.MP4,moved,2023-07-16,Unknown Location,fallback,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0847.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0847.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0848.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0848.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0849.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0849.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0850.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0850.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0851.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0851.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0852.JPG,"E:\Drone\Largo, Florida, US\2023-07-15\DJI_0852.JPG",moved,2023-07-15,"Largo, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0853.JPG,"E:\Drone\West Bradenton, Florida, US\2023-07-21\DJI_0853.JPG",moved,2023-07-21,"West Bradenton, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0854.JPG,"E:\Drone\West Bradenton, Florida, US\2023-07-21\DJI_0854.JPG",moved,2023-07-21,"West Bradenton, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0855.MP4,"E:\Drone\West Bradenton, Florida, US\2023-07-22\DJI_0855.MP4",moved,2023-07-22,"West Bradenton, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0856.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0856.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0857.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0857.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0858.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0858.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0859.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0859.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0860.JPG,"E:\Drone\Tierra Verde, Florida, US\2023-07-21\DJI_0860.JPG",moved,2023-07-21,"Tierra Verde, Florida, US",gps,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0861.MP4,"E:\Drone\West Bradenton, Florida, US\2023-07-22\DJI_0861.MP4",moved,2023-07-22,"West Bradenton, Florida, US",same-day,
D:\Home\Drone-turtles\DCIM\100MEDIA\DJI_0862.MP4,"E:\Drone\West Bradenton, Florida, US\2023-07-22\DJI_0862.MP4",moved,2023-07-22,"West Bradenton, Florida, US",same-day,
